@relation missing_fixed(2)-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute VGspeed numeric
@attribute RAin numeric
@attribute SNow numeric
@attribute TStrom numeric
@attribute FoG numeric
@attribute NowCast numeric
@attribute Raw numeric
@attribute AQI_CATEGORY {'very unhealthy ',hazardous,moderate,good,'moderate unhealthy ',unhealthy}

@data
2018,2,23,25.3,31.6,19.3,1010.4,66,0,3.5,0.6,3.5,0,1,0,1,4,160.179167,162.708333,'very unhealthy '
2016,12,21,21.6,27.6,17.2,1013.3,70,0,3.5,1.2,3.6,0,0,0,0,0,214.241667,216.166667,'very unhealthy '
2016,4,1,22.3,27,18.2,1010.2,78,7.11,3.9,2.6,9.4,0,5,0,2,0,53.479167,54.5,'very unhealthy '
2018,7,2,29.6,33.6,25.8,1000.7,79,17.02,5.3,3.9,5.4,0,22,0,5,0,25.995833,16.916667,'very unhealthy '
2017,1,30,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,0,0,0,0,1,125.5875,125.708333,'very unhealthy '
2016,6,17,31,34.5,27.7,1003.7,70.3,10.17,4.7,3.1,5.7,0,4,0,3,0,36.275,35.416667,'very unhealthy '
2018,12,28,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,0,0,0,0,0,155.020833,153.083333,'very unhealthy '
2016,3,15,27.4,32.4,20.7,1011.1,49,0,3.5,0,7,0,8,0,5,1,128.091667,132.541667,'very unhealthy '
2018,2,18,23.4,29.2,18.3,1012.5,57,20.32,3.3,1.4,5.6,0,1,0,1,4,210.933333,210.791667,'very unhealthy '
2017,3,28,27.4,30.6,24.8,1009.4,79,0,4.3,3.3,3.5,0,5,0,6,1,57.208333,55.708333,'very unhealthy '
2018,11,21,23.6,29.7,18.9,1013.1,65.5,0,3.7,1.1,5.9,0,0,0,0,0,121.845833,120.5,'very unhealthy '
2018,4,23,27.4,33,22.1,1007.8,67.6,331.46,4.6,3.2,10,0,10,0,13,0,25.285714,6.714286,'very unhealthy '
2016,7,22,29,32.2,26.1,1001.7,81.7,368.05,4.5,2.4,5.7,0,22,0,4,0,31.5625,31,'very unhealthy '
2017,12,11,21.6,26.5,17.1,1013.6,73.6,33.01,3,0.5,4.4,0,3,0,0,7,32.833333,35.125,'very unhealthy '
2018,6,6,29.4,33.4,25.6,999.6,81,304.3,4.5,3.5,10.4,0,20,0,11,0,33.829167,34.125,'very unhealthy '
2018,10,16,27.7,33.2,22.8,1011.5,64,0,4.5,0.6,3.5,0,7,0,0,0,77.74,98.5,'very unhealthy '
2016,4,20,30.9,35.9,28,1004.9,67,0,4.5,6.9,11.1,0,5,0,2,0,48.433333,48.125,'very unhealthy '
2017,3,28,27.4,30.6,24.8,1009.4,79,0,4.3,3.3,3.5,0,5,0,6,1,57.208333,55.708333,'very unhealthy '
2017,3,19,25,30.1,20.1,1009.5,64.5,98.81,4.2,1.8,5.8,0,5,0,6,1,102.6625,106.166667,'very unhealthy '
2018,12,17,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,0,0,0,0,0,151.258333,148.083333,'very unhealthy '
2018,7,8,29.4,32.6,26.7,998.9,81,354.84,4.5,3.7,7.9,0,22,0,5,0,19.9,22.458333,'very unhealthy '
2016,3,4,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,89.145833,93.583333,'very unhealthy '
2016,7,2,29.4,32.2,27,998.8,83,26.67,3.9,3.9,5.4,0,22,0,4,0,21.7125,21.041667,'very unhealthy '
2019,9,13,27.6,29.5,26.6,1006.8,94,16.76,3.9,1.3,5.4,0,21,0,9,0,46.975,47.5,'very unhealthy '
2018,5,21,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,0,15,0,12,0,50.629167,48.875,'very unhealthy '
2018,1,14,14.6,18.9,12.4,1013.8,88,0,0.8,1.5,5.4,0,0,0,0,9,283.879167,280.541667,'very unhealthy '
2018,2,3,20.1,25.5,16,1012.5,79,0,1.1,0,5.6,0,1,0,1,4,278.866667,284.708333,'very unhealthy '
2017,6,19,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,0,7,0,6,0,43.229167,44,'very unhealthy '
2018,3,11,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,0,2,0,0,0,211.266667,213.625,'very unhealthy '
